Bedrijfsnaam;Adrestype;Postcode;Plaats;Land;Adresregel 1;Adresregel 2;AdresId;Itemtype;Pad
2C&More;Bezoekadres;5401 BM;UDEN;Nederland;Deken de Louwstraat 18;;1;Item;CRM_Site/Lists/Adressen
2mus;Bezoekadres;4156 AC;RUMPT;Nederland;Achterweg 46;;2;Item;CRM_Site/Lists/Adressen
4Results B.V.;Postadres;3740 AH;BAARN;Nederland;Postbus 321;;3;Item;CRM_Site/Lists/Adressen
ABN-AMRO;Postadres;3500 GB;UTRECHT;Nederland;Postbus 2059;;4;Item;CRM_Site/Lists/Adressen
Achmea Agro;Postadres;2700 AB;ZOETERMEER;Nederland;Postbus 54;;5;Item;CRM_Site/Lists/Adressen
Achmea Avero;Postadres;3800 BS;AMERSFOORT;Nederland;Postbus 1717;;6;Item;CRM_Site/Lists/Adressen
Achmea Avero;Bezoekadres;3800 BS;AMERSFOORT;Nederland;Van Asch van Wijckstraat 55;;7;Item;CRM_Site/Lists/Adressen
Achmea DDD;Bezoekadres;7333NP;APELDOORN;Nederland;Laan van Malkenschoten 20;;8;Item;CRM_Site/Lists/Adressen
Achmea Divisie Bancaire Distributie;Postadres;5000 LA;TILBURG;Nederland;Postbus 90106;;9;Item;CRM_Site/Lists/Adressen
Achmea dPV;Bezoekadres;7333 NP;APELDOORN;Nederland;Laan van Malkenschoten 20;;10;Item;CRM_Site/Lists/Adressen
Achmea Group HR - Eureko Academy;Postadres;7300 HC;APELDOORN;Nederland;Postbus 700;;11;Item;CRM_Site/Lists/Adressen
Achmea Group HR - Eureko Academy;Bezoekadres;7311 NB;APELDOORN;Nederland;Prins Willem Alexanderlaan 651;;12;Item;CRM_Site/Lists/Adressen
Achmea Group Information Management;Postadres;5000 LA;Tilburg;Nederland;Postbus 90106;;13;Item;CRM_Site/Lists/Adressen
Achmea Group Information Security Office;Postadres;7300 HC;APELDOORN;Nederland;Postbus 700;;14;Item;CRM_Site/Lists/Adressen
Achmea IM & IT;Postadres;7300 HS;APELDOORN;Nederland;Postbus 9130;;15;Item;CRM_Site/Lists/Adressen
Achmea Interne Diensten;Bezoekadres;7333 NP;APELDOORN;Nederland;Laan van Malkenschoten 20;Deckgebouw C6;16;Item;CRM_Site/Lists/Adressen
Achmea Interne Diensten;Postadres;7333 NP;APELDOORN;Nederland;Postbus 700;;17;Item;CRM_Site/Lists/Adressen
Achmea IT;Bezoekadres;7311NB;APELDOORN;Nederland;Prins Willem-Alexanderlaan 651;;18;Item;CRM_Site/Lists/Adressen
Achmea Schadeservice;Postadres;7300 HZ;APELDOORN;Nederland;Postbus 9150;;19;Item;CRM_Site/Lists/Adressen
Achmea Service Organisatie Leven;Bezoekadres;5017 JZ;TILBURG;Nederland;Spoorlaan 298;;20;Item;CRM_Site/Lists/Adressen
Achmea Syntrus Pensioenbeheer;Postadres;1006 AG;AMSTERDAM;Nederland;Postbus 9251;;21;Item;CRM_Site/Lists/Adressen
Achmea SZ;Postadres;5000 LA;TILBURG;Nederland;Postbus 90106;;22;Item;CRM_Site/Lists/Adressen
Achmea SZ;Bezoekadres;5017 JZ;TILBURG;Nederland;Spoorlaan 298;;23;Item;CRM_Site/Lists/Adressen
AdE Interim Operationeel Management;Bezoekadres;3573 BT;UTRECHT;Nederland;P.L. Brionstraat 47;;24;Item;CRM_Site/Lists/Adressen
Administratiekantoor Report;Postadres;3460 BA;LINSCHOTEN;Nederland;Postbus 7;;25;Item;CRM_Site/Lists/Adressen
Aegon;Postadres;3430 BN;NIEUWEGEIN;Nederland;Postbus 1570;;26;Item;CRM_Site/Lists/Adressen
AFAS ERP Software BV;Postadres;3830 AJ;LEUSDEN;Nederland;Postbus 310;;27;Item;CRM_Site/Lists/Adressen
AFAS ERP Software BV;Bezoekadres;3830 AJ;LEUSDEN;Nederland;Philipstraat 9;;28;Item;CRM_Site/Lists/Adressen
AK Media;Bezoekadres;3542 CA;UTRECHT;Nederland;Niels Bohrweg 131;;29;Item;CRM_Site/Lists/Adressen
Albert Schweitzer Ziekenhuis;Postadres;3300 AK;DORDRECHT;Nederland;Postbus 444;;30;Item;CRM_Site/Lists/Adressen
Alescon werk/leerbedrijven;Postadres;9400 AZ;ASSEN;Nederland;Postbus 990;;31;Item;CRM_Site/Lists/Adressen
All Office Van Lint;Bezoekadres;3447 GK;WOERDEN;Nederland;Pompmolenlaan 43-b;;32;Item;CRM_Site/Lists/Adressen
ANWB B.V.;Bezoekadres;2596 EC;DEN HAAG;Nederland;Wassenaarseweg 220;;33;Item;CRM_Site/Lists/Adressen
ANWB B.V.;Postadres;2596 EC;DEN HAAG;Nederland;Postbus 93200;;34;Item;CRM_Site/Lists/Adressen
APG;Bezoekadres;6411 EJ;HEERLEN;Nederland;Oude Lindestraat 70;;35;Item;CRM_Site/Lists/Adressen
ArboVitale;Postadres;3502 JA;UTRECHT;Nederland;Postbus 5020;;36;Item;CRM_Site/Lists/Adressen
Array Seminar;Bezoekadres;2402 ZN;ALPHEN A/D RIJN;Nederland;Lemelerberg 19 - 23;;37;Item;CRM_Site/Lists/Adressen
ASPECT ICT;Postadres;3370 AB;HARDINXVELD - GIESSENDAM;Nederland;Postbus 98;;38;Item;CRM_Site/Lists/Adressen
ASPECT ICT;Bezoekadres;3370 AB;HARDINXVELD - GIESSENDAM;Nederland;Handelsstraat 4;;39;Item;CRM_Site/Lists/Adressen
Atos Origin;Bezoekadres;3528 BJ;UTRECHT;Nederland;Papendorpseweg 93;;40;Item;CRM_Site/Lists/Adressen
Auto Lease Team;Bezoekadres;2352 BZ;LEIDERDORP;Nederland;Weversbaan 27;;41;Item;CRM_Site/Lists/Adressen
AVAYA;Bezoekadres;3439 MR;NIEUWEGEIN;Nederland;Marconibaan 59;;42;Item;CRM_Site/Lists/Adressen
Avero Achmea;Postadres;3800 BS;AMERSFOORT;Nederland;Postbus 1717;;43;Item;CRM_Site/Lists/Adressen
Avero Achmea;Bezoekadres;3811 LP;AMERSFOORT;Nederland;Van Asch van Wijckstraat 55;;44;Item;CRM_Site/Lists/Adressen
Badge Promotions B.V.;Postadres;3440 AL;WOERDEN;Nederland;Postbus 477;;45;Item;CRM_Site/Lists/Adressen
Badge Promotions B.V.;Bezoekadres;3440 AL;WOERDEN;Nederland;Edisonweg 2;;46;Item;CRM_Site/Lists/Adressen
Bakker Sliedrecht Electro Industrie BV;Postadres;3360 AA;SLIEDRECHT;Nederland;Postbus 25;;47;Item;CRM_Site/Lists/Adressen
Barry Callebaut Nederland BV;Bezoekadres;4881 XZ;ZUNDERT;Nederland;De Ambachten 4;;48;Item;CRM_Site/Lists/Adressen
Bart de Heij ICT;Bezoekadres;2811 GE;REEUWIJK;Nederland;'s Gravenbroekseweg 28;;49;Item;CRM_Site/Lists/Adressen
Bartels Engineering BV;Postadres;7301 GE;APELDOORN;Nederland;Postbus 10217;;50;Item;CRM_Site/Lists/Adressen
bbeyond;Postadres;2130 AR;HOOFDDORP;Nederland;Postbus 692;;51;Item;CRM_Site/Lists/Adressen
BCT;Postadres;6430 AH;HOENSBROEK;Nederland;Postbus 300;;52;Item;CRM_Site/Lists/Adressen
Beerens Winkelinterieurs BV;Bezoekadres;5121 DJ;RIJEN;Nederland;Europalaan 2;;53;Item;CRM_Site/Lists/Adressen
Belcentrale;Bezoekadres;3012 KM;ROTTERDAM;Nederland;Westblaak 142;;54;Item;CRM_Site/Lists/Adressen
Bell & Herrmann;Bezoekadres;2585 EB;Den Haag;Nederland;Nassauplein 14;;55;Item;CRM_Site/Lists/Adressen
Benthurst & Co;Bezoekadres;1020;Brussel;Belgie;Avenue Jan Sobieskilaan 60;;56;Item;CRM_Site/Lists/Adressen
Berenschot;Postadres;3503 RA;UTRECHT;Nederland;Postbus 8039;;57;Item;CRM_Site/Lists/Adressen
Bergman Oogzorg BV;Bezoekadres;1411 DE;NAARDEN;Nederland;Gooimeer 11;;58;Item;CRM_Site/Lists/Adressen
Bijvang Consultancy;Bezoekadres;1019 EE;AMSTERDAM;Nederland;Hildo Kropplein 37;;59;Item;CRM_Site/Lists/Adressen
Bonheur horeca groep;Bezoekadres;5036 NA;TILBURG;Nederland;Bredaseweg 441;;60;Item;CRM_Site/Lists/Adressen
BRW Groep BV;Postadres;2700 AJ;ZOETERMEER;Nederland;Postbus 376;;61;Item;CRM_Site/Lists/Adressen
BRW Groep BV;Bezoekadres;2715 CA;ZOETERMEER;Nederland;Bredewater 4H;;62;Item;CRM_Site/Lists/Adressen
Bugaboo;Bezoekadres;1105 BE;AMSTERDAM;Nederland;Paasheuvelweg 9;;63;Item;CRM_Site/Lists/Adressen
Buma/Stemra;Postadres;2130 KB;HOOFDDORP;Nederland;Postbus 3080;;64;Item;CRM_Site/Lists/Adressen
Capability;Bezoekadres;3439 MB;NIEUWEGEIN;Nederland;Structuurbaan 40;;65;Item;CRM_Site/Lists/Adressen
Capgemini Nederland B.V.;Postadres;3500 GN;UTRECHT;Nederland;Postbus 2575;;66;Item;CRM_Site/Lists/Adressen
Capica Internettechniek;Bezoekadres;2908 LT;CAPELLE A/D IJSSEL;Nederland;Cypresbaan 2;;67;Item;CRM_Site/Lists/Adressen
CAPTER;Bezoekadres;6524 EP;NIJMEGEN;Nederland;St. Annastraat 143;;68;Item;CRM_Site/Lists/Adressen
Careaz;Bezoekadres;7132 EJ;LICHTENVOORDE;Nederland;Het Brook 2;;69;Item;CRM_Site/Lists/Adressen
Careyn Wonen met Zorg;Bezoekadres;3445AS;WOERDEN;Nederland;Utrechtsestraatweg 50;;70;Item;CRM_Site/Lists/Adressen
Carint Reggelandgroep;Postadres;7550 AM;HENGELO;Nederland;Postbus 506;;71;Item;CRM_Site/Lists/Adressen
Casemanagement Groep B.V.;Bezoekadres;2811 EP;REEUWIJK;Nederland;Einsteinstraat 5-7;;72;Item;CRM_Site/Lists/Adressen
Cash Software;Bezoekadres;2518 AD;DEN HAAG;Nederland;Zeestraat 76;;73;Item;CRM_Site/Lists/Adressen
Cellro automatisering;Bezoekadres;3905 PR;VEENENDAAL;Nederland;Koningsschot 41;;74;Item;CRM_Site/Lists/Adressen
Centraal Beheer Achmea;Postadres;7300 HZ;APELDOORN;Nederland;Postbus 9150;;75;Item;CRM_Site/Lists/Adressen
Cinkel Office;Bezoekadres;3207 ZL;SPIJKENISSE;Nederland;Nienoordlaan 10;;76;Item;CRM_Site/Lists/Adressen
Cisco Systems (Switzerland) GmbH;Bezoekadres;8304;WALLISSEN;Zwitserland;Richtistrasse 7;;77;Item;CRM_Site/Lists/Adressen
Civil Aviation Authority;Postadres;8001;BODe;Zweden;Postboks 243;;78;Item;CRM_Site/Lists/Adressen
Civil Aviation Authority;Bezoekadres;8001;BODe;Zweden;Sjegata 45-47;;79;Item;CRM_Site/Lists/Adressen
CKRegister;Bezoekadres;2811 NE;REEUWIJK;Nederland;Oukoopsedijk 13;;80;Item;CRM_Site/Lists/Adressen
C-Level;Bezoekadres;2902 KM;CAPELLE A/D IJSSEL;Nederland;Merelhoven 152;;81;Item;CRM_Site/Lists/Adressen
Closer 2 the job;Bezoekadres;2582 AD;DEN HAAG;Nederland;Cornelis de Wittlaan 67;1e etage;82;Item;CRM_Site/Lists/Adressen
Commant;Bezoekadres;1114 AN;AMSTERDAM;Nederland;Joan Muyskenweg 92;;83;Item;CRM_Site/Lists/Adressen
COMOP;Bezoekadres;3466 LV;WAARDER;Nederland;Prins Bernhardstraat 78;;84;Item;CRM_Site/Lists/Adressen
Company Care Consultancy;Bezoekadres;3065 SC;ROTTERDAM;Nederland;'s-Gravenweg 61 5b;;85;Item;CRM_Site/Lists/Adressen
Coppens;Bezoekadres;5704 RC;Helmond;Nederland;Haverdijk 6a;;86;Item;CRM_Site/Lists/Adressen
Corporate Performance Consultancy;Bezoekadres;5104 CM;DONGEN;Nederland;Wilgenstraat 8;;87;Item;CRM_Site/Lists/Adressen
CQ Procesmanagement;Postadres;3800 GD;AMERSFOORT;Nederland;Postbus 2649;;88;Item;CRM_Site/Lists/Adressen
CreaMatics business mapping;Bezoekadres;2803 SP;GOUDA;Nederland;Akeleistraat 44;;89;Item;CRM_Site/Lists/Adressen
CRV;Postadres;6800 AL;ARNHEM;Nederland;Postbus 454;;90;Item;CRM_Site/Lists/Adressen
Curamare;Bezoekadres;2247 AA;DIRKSLAND;Nederland;Beatrixlaan 13;;91;Item;CRM_Site/Lists/Adressen
Cvision;Postadres;5240 AH;ROSMALEN;Nederland;Postbus 340;;92;Item;CRM_Site/Lists/Adressen
Daelzicht;Postadres;6097 ZG;HEEL;Nederland;Postbus 5002;;93;Item;CRM_Site/Lists/Adressen
DARE!! Calibrations;Bezoekadres;3447 GX;WOERDEN;Nederland;Vijzelmolenlaan 7;;94;Item;CRM_Site/Lists/Adressen
DARE!! Development;Bezoekadres;3447 GX;WOERDEN;Nederland;Vijzelmolenlaan 7;;95;Item;CRM_Site/Lists/Adressen
DARE!! International;Bezoekadres;3447 GX;WOERDEN;Nederland;Vijzelmolenlaan 7;;96;Item;CRM_Site/Lists/Adressen
DARE!! Measurements;Bezoekadres;3447 GX;WOERDEN;Nederland;Vijzelmolenlaan 7;;97;Item;CRM_Site/Lists/Adressen
DBF DataBase Fulfilment;Bezoekadres;2908 LP;Capelle aan den IJssel;Nederland;Rietbaan 6;;98;Item;CRM_Site/Lists/Adressen
D-Day Consultancy;Bezoekadres;3351 AR;PAPENDRECHT;Nederland;Westeind 144;;99;Item;CRM_Site/Lists/Adressen
De Heij Repro;Bezoekadres;2811 NV;REEUWIJK;Nederland;Reeuwijkse Poort 310;;100;Item;CRM_Site/Lists/Adressen
EMV;Bezoekadres;2391 PX;HAZERSWOUDE DORP;Nederland;Frankrijklaan 7;;121;Item;CRM_Site/Lists/Adressen
emv - GmbH;Bezoekadres;82024;TAUFKIRCHEN;Duitsland;Wallbergstraee 7;;122;Item;CRM_Site/Lists/Adressen
Eneco Consumenten;Postadres;3000 BA;Rotterdam;Nederland;Postbus 1003;;123;Item;CRM_Site/Lists/Adressen
Engineers-Inside;Bezoekadres;2628 RX;DELFT;Nederland;Mijnbouwstraat 120;;124;Item;CRM_Site/Lists/Adressen
ESF Agentschap Vlaanderen;Bezoekadres;1000;BRUSSEL;Belgie;Gasthuisstraat 31;;125;Item;CRM_Site/Lists/Adressen
Estuarium BV;Bezoekadres;2517 CG;DEN HAAG;Nederland;Suezkade 175;;126;Item;CRM_Site/Lists/Adressen
ETTU;Bezoekadres;2807 KH;GOUDA;Nederland;Wilhelmina van Pruisenlaan 141;;127;Item;CRM_Site/Lists/Adressen
Eureko;Postadres;3700 AW;ZEIST;Nederland;Postbus 866;;128;Item;CRM_Site/Lists/Adressen
EuroCross International;Postadres;2200 GR;NOORDWIJK;Nederland;Postbus 31300;;129;Item;CRM_Site/Lists/Adressen
Euromax;Bezoekadres;3195 ND;ROTTERDAM-PERNIS;Nederland;Seattleweg 11;Building 1, 1st floor;130;Item;CRM_Site/Lists/Adressen
F & G;Postadres;1700 BE;HEERHUGOWAARD;Nederland;Postbus 1245;;131;Item;CRM_Site/Lists/Adressen
Facilicom;Postadres;3100 AC;SCHIEDAM;Nederland;Postbus 144;;132;Item;CRM_Site/Lists/Adressen
Fairchild Marketing;Postadres;3507 LH;UTRECHT;Nederland;Postbus 13321;;133;Item;CRM_Site/Lists/Adressen
Falkbeer groep;Bezoekadres;3831 LD;LEUSDEN;Nederland;Beerzewijk 30;;134;Item;CRM_Site/Lists/Adressen
FIRMLEADERS;Bezoekadres;2021 GD;HAARLEM;Nederland;Schotersingel 85;;135;Item;CRM_Site/Lists/Adressen
Fokus (stichting Fokus Exploitatie);Bezoekadres;3572 WP;UTRECHT;Nederland;Vermeulenstraat 12;Drieharingstraat 28;136;Item;CRM_Site/Lists/Adressen
Geijsel Kroon Assurantien;Bezoekadres;1191 AD;OUDERKERK A/D AMSTEL;Nederland;Hoger Einde Noord 31;;137;Item;CRM_Site/Lists/Adressen
Gemeente Arnhem;Postadres;6800 EL;ARNHEM;Nederland;Postbus 9029;;138;Item;CRM_Site/Lists/Adressen
Gemeente Den Haag;Postadres;2500DP;DEN HAAG;Nederland;Postbus 12652;;139;Item;CRM_Site/Lists/Adressen
Gemeente Woerden;Bezoekadres;3440 AA;WOERDEN;Nederland;Blekerijlaan 14;;140;Item;CRM_Site/Lists/Adressen
Gemeente Woerden;Postadres;3449 AA;WOERDEN;Nederland;Postbus 45;;141;Item;CRM_Site/Lists/Adressen
Gemiva-SVGgroep;Postadres;2800 AP;GOUDA;Nederland;Postbus 604;;142;Item;CRM_Site/Lists/Adressen
Gemiva-SVGgroep;Bezoekadres;2803 HG;GOUDA;Nederland;Bleulandweg 1c;;143;Item;CRM_Site/Lists/Adressen
GGz Centraal/Meerkanten;Postadres;3850 BA;ERMELO;Nederland;Postbus 1000;;144;Item;CRM_Site/Lists/Adressen
GGZ Oost Brabant;Postadres;5240 BA;ROSMALEN;Nederland;Postbus 1;;145;Item;CRM_Site/Lists/Adressen
De Klaproos;Bezoekadres;2411 CP;BODEGRAVEN;Nederland;Willemstraat 53;;101;Item;CRM_Site/Lists/Adressen
De Westerkim;Bezoekadres;7901 CN;HOOGEVEEN;Nederland;Bosboomstraat 26;;102;Item;CRM_Site/Lists/Adressen
DELA;Bezoekadres;5611 DD;EINDHOVEN;Nederland;Oude Stadsgracht 1;;103;Item;CRM_Site/Lists/Adressen
Delta Lloyd Groep;Postadres;1000 BA;AMSTERDAM;Nederland;Postbus 1000;;104;Item;CRM_Site/Lists/Adressen
Delta Lloyd Groep;Bezoekadres;1096 BC;AMSTERDAM;Nederland;Amstelplein 6;;105;Item;CRM_Site/Lists/Adressen
Deltaratio;Bezoekadres;6524 LM;NIJMEGEN;Nederland;Archipelstraat 285;;106;Item;CRM_Site/Lists/Adressen
Dialoog Grafisch Ontwerp;Bezoekadres;2771 PR;BOSKOOP;Nederland;Kersengaarde 49;;107;Item;CRM_Site/Lists/Adressen
Dichterbij;Postadres;6580 AA;MALDEN;Nederland;Postbus 14;;108;Item;CRM_Site/Lists/Adressen
Dimension Data;Bezoekadres;3771 MT;BARNEVELD;Nederland;Veemweg 23/25;;109;Item;CRM_Site/Lists/Adressen
Donatus Verzekeringen;Postadres;5240 AM;ROSMALEN;Nederland;Postbus 500;;110;Item;CRM_Site/Lists/Adressen
Drost Personeelsdiensten;Bezoekadres;3441 XA;WOERDEN;Nederland;Oranjestraat 1a;;111;Item;CRM_Site/Lists/Adressen
Drukwerkstudio.nl;Bezoekadres;3442 AE;Woerden;Nederland;Industrieweg 11;;112;Item;CRM_Site/Lists/Adressen
Dumiek;Bezoekadres;3445 CN;WOERDEN;Nederland;Dr. Schoutenlaan 8;;113;Item;CRM_Site/Lists/Adressen
ECI;Bezoekadres;4131 PB;VIANEN;Nederland;Industrieterrein Hagestein;Laanakkerweg 14-16;114;Item;CRM_Site/Lists/Adressen
Ecodrukkers;Postadres;2420 AA;NIEUWKOOP;Nederland;Postbus 41;;115;Item;CRM_Site/Lists/Adressen
